name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
Döner Bros avd. Torggata,923130942,Osterhausgate 12 A,0183,OSLO,4.1,2,206.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.91675380147842, 10.753731322825757]"
Døgnvill Bar & Burger,998006945,MARIDALSVEIEN 13,0178,OSLO,4.4,2,1557.0,3,0.125,8,1,,,0.375,6,1,1,0,"[59.922332, 10.750947]"
Døgnvill Burger Bjørvika,820562232,Operagata 6,0150,OSLO,4.3,2,903.0,0,0.0,3,1,,,0.0,3,0,0,0,"[59.908239, 10.7536]"
Døgnvill Burger Tjuvholmen,914798884,LILLE STRANDEN 10,0252,OSLO,4.4,2,2649.0,9,0.2222222222222222,9,1,,,1.0,3,4,1,1,"[59.908422, 10.723568]"
EFF EFF,922537550,Fredensborgveien 22A,0177,OSLO,4.5,,70.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.918547, 10.747849]"
EN TIL! AS   ,912520439,Trondheimsveien 275 ,0580,OSLO,,,,5,0.1666666666666666,6,1,,,0.8333333333333334,2,3,1,0,"[59.9380834, 10.7855755]"
ENOTECA VINBAR,980261565,BYGDØY ALLE 59A,0265,OSLO,4.3,2,174.0,8,0.375,8,1,,,1.0,3,2,3,0,"[59.9147695, 10.7172179]"
EZO,913646754,Nordre gate 20,0552,OSLO,4.1,,289.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.921148, 10.758321]"
East Kitchen,997277309,MARKVEIEN 50,0554,OSLO,4.3,1,390.0,14,0.4615384615384615,13,1,,,1.0769230769230769,6,1,5,1,"[59.920755, 10.758145]"
Eat Thai,813804182,Kongens gate 23,0153,OSLO,3.7,,107.0,10,0.4,10,1,,,1.0,4,2,4,0,"[59.911562, 10.743066]"
Eat Thai Aker Brygge,927006812,Fjordalleen 4,0250,OSLO,4.2,,68.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.909137, 10.725161]"
Eat Thai Lamberseter,827108162,Cecilie Thoresensvei 17,1153,OSLO,4.2,,19.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.874913897307096, 10.810462474269087]"
Eat Thai Løren,927182122,Lørenveien 44,0259,OSLO,4.1,,18.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.930571, 10.793542]"
Eataly Ristorante,982495792,BRYGGETORGET 18,0250,OSLO,4.2,2,980.0,5,0.1428571428571428,7,1,,,0.7142857142857143,3,3,1,0,"[59.90967965, 10.724379038461542]"
Eckers Ullevold,925335789,Vestgrensa 2,0851,OSLO,4.5,,45.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.94079, 10.729133]"
Eftir AS,925265357,Markveien 35 B,0551,OSLO,5.0,,5.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.921737, 10.757195]"
Egon Byporten Norport A/S,979975635,JERNBANETORGET 06 ,0154,OSLO,3.9,2,2787.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.91093735, 10.750209357859251]"
Egon Nordstrand,971675470,Ekebergveien 228b,1162,OSLO,3.9,2,570.0,4,0.0,5,1,,,0.8,1,4,0,0,"[59.861186, 10.800473]"
Egon Restaurant,973870718,KARL JOHANS GATE 37,0162,OSLO,3.9,2,1940.0,6,0.0,7,1,,,0.8571428571428571,1,6,0,0,"[59.914197, 10.737908]"
Egon Ullevål,892312192,SOGNSVEIEN 77C,0855,OSLO,3.8,2,487.0,7,0.1428571428571428,7,1,,,1.0,1,5,1,0,"[59.949923, 10.736036]"
Eik teatro vika as,921649924,Dronning Mauds gate 1,0250,OSLO,4.3,,127.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.91253, 10.729961]"
Ekebergrestauranten ,987325925,Kongsveien 15,0193,OSLO,4.3,3,1817.0,6,0.2857142857142857,7,1,,,0.8571428571428571,3,2,2,0,"[59.899484, 10.761656]"
El Aroma,998850584,Bogstadveien 8,0355,OSLO,4.3,,125.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.924627, 10.724015]"
El Burro,922572984,Jernbanetorget 6 ,0154,OSLO,3.9,2,194.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.911771, 10.751553]"
El Camino,914021839,Niels Juels Gate 31,0256,OSLO,4.3,2,441.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.91678, 10.714861]"
El Camino AS Avd. Bogstadveien ,922356408,Bogstadveien 20,0355,OSLO,4.0,,345.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.925338, 10.722514]"
Eldhuset Bislett,918285393,DALSBERGSTIEN 19,0170,OSLO,4.4,2,285.0,9,0.5,8,1,,,1.125,3,1,4,0,"[59.9230857, 10.7326179]"
Eldhuset Kristiania Skjenkestue,981225244,OLAF RYES PLASS 9,0552,OSLO,4.4,2,930.0,13,0.5,12,1,,,1.0833333333333333,5,1,6,0,"[59.92348975032729, 10.757788499238814]"
