name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
Go´Grilla Food Trailer Langkaia,914749565,Langkaia ,0150,OSLO,3.9,,33.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.906204, 10.7448921]"
Grains Frogner,922170843,Niels Juels gate 33B,0257,OSLO,4.7,,33.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.917478, 10.715774]"
Grains Løren AS,928730158,Lørenveien 44B,0585,OSLO,4.8,,4.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.93066, 10.793582]"
Grains Mathallen AS,925710075,Vulkan 5,0178,OSLO,,,,1,0.0,1,1,,,1.0,0,1,0,0,"[59.922253, 10.751749]"
Grains as,920641458,Valkyriegata 21B,0366,OSLO,4.5,2,280.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.930147, 10.715897]"
Grand Café & Vinkjeller,985183007,Karl Johans Gate 31,0159,OSLO,4.2,3,961.0,9,0.375,8,1,,,1.125,2,3,3,0,"[59.913745, 10.739477]"
Grand Pizza ,993639524,Grønlandsleiret 14,0190,OSLO,3.7,1,180.0,5,0.4,5,1,,,1.0,2,1,2,0,"[59.912379, 10.765214]"
Grand Taj Indian Restaurant,917012989,Nedre Prinsdals vei 83B,1263,OSLO,4.4,2,271.0,7,0.5,6,1,,,1.1666666666666667,3,0,2,1,"[59.832556, 10.807895]"
Grefsenkollen restaurant ,993384062,Grefsenkollveien 100,0490,OSLO,4.4,3,1832.0,4,0.2,5,1,,,0.8,2,2,1,0,"[59.958793, 10.803897]"
Grezzo Restaurant,915942717,Bernt Aker vei ,0183,OSLO,4.4,,62.0,2,0.0,1,1,,,2.0,0,0,1,0,"[59.948250112420176, 10.869851221458193]"
Grilleriet AS,997255518,"STORGATA 21 /23, 0184 OSLO",0184,OSLO,4.1,3,537.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.9139467, 10.7514288]"
Grill’s Ville ,994627708,Frognerveien 9C,0257,OSLO,4.1,2,281.0,9,0.3636363636363636,11,1,,,0.8181818181818182,6,1,4,0,"[59.916528, 10.715331]"
Grisen - Torshovgata 2,988046949,TORSHOVGATA 2,0476,OSLO,4.1,2,799.0,12,0.4,10,1,,,1.2,2,4,4,0,"[59.934318, 10.762764]"
Grytelokket avd. sentrum,988770140,STORGATEN 45,0182,OSLO,4.2,,480.0,9,0.3333333333333333,9,1,,,1.0,3,3,3,0,"[59.91545062499562, 10.755625895064316]"
Gråbein Bar AS,923001603,Lakkegata 71A,0562,OSLO,4.6,2,174.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.918613, 10.765133]"
Grådi,817665322,SØRLIGATA 40,0577,OSLO,4.1,2,594.0,5,0.2,5,1,,,1.0,1,3,1,0,"[59.914491, 10.771819]"
Grønland Gym ,819223742,Rubina Ranas gate 3,0190,OSLO,4.1,2,333.0,4,0.25,4,1,,,1.0,1,2,1,0,"[59.911577, 10.762774]"
Grünerhaven Cuisine Suisse AS,972002607,OLAF RYES PLASS 12 12,0552,OSLO,3.8,2,266.0,5,0.4,5,1,,,1.0,2,1,2,0,"[59.92348752912295, 10.75862928794632]"
Grünerløkka Gastropub A/S,922260974,Thorvald Meyers gate 30B,0555,OSLO,4.4,2,740.0,7,0.75,4,1,,,1.75,1,0,2,1,"[59.925019, 10.759519]"
Gunnars Generasjonsbar,919817917,Torggata 13,0181,OSLO,4.3,2,443.0,6,0.5,6,1,,,1.0,3,0,3,0,"[59.915194, 10.750166]"
Gutta fra Calcutta Tandoori Restaurant & Bar AS,986614540,Waldemar Thranes gate 65,0173,OSLO,4.3,2,287.0,9,0.4,10,1,,,0.9,5,1,4,0,"[59.927789, 10.749195]"
HAO CAFÈ,923742549,Majorstuveien 40,0367,OSLO,4.3,,117.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.928401, 10.714908]"
HAPPY FOODS,913231767,Neuberggata 2a,0367,OSLO,4.4,2,94.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.924771, 10.713107]"
Habibi,913207319,STORGATA 13,0184,OSLO,4.1,2,903.0,19,0.6153846153846154,13,1,,,1.4615384615384617,4,1,6,2,"[59.913453, 10.749352]"
Hagestuen Cafe',981132041,HAGEGATA 34,0653,OSLO,4.2,,110.0,2,0.0,6,1,,,0.3333333333333333,4,2,0,0,"[59.913702, 10.776409]"
Hakuna Matata,922086273,Møllergata 38,0179,OSLO,4.1,1,268.0,5,0.5,4,1,,,1.25,2,0,1,1,"[59.917669, 10.750297]"
Halvorsens Conditori,871699232,Prinsens gate 26,0157,OSLO,3.8,3,76.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.912244, 10.739559]"
Handmade,925447862,Trondheimsveien 8,0560,OSLO,3.9,,296.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.91927, 10.763719]"
Handwerk Botaniske,916701721,Sars' gate 1,0562,OSLO,3.7,,240.0,6,0.5,4,1,,,1.5,1,1,1,1,"[59.9176373, 10.7726692]"
Hapag Sushi,826051892,Dronning Eufemias gate 14,0191,OSLO,3.8,,8.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.908438, 10.758252]"
Happy Time Oslo AS,997758471,THORVALD MEYERS GATE 76C,0550,OSLO,3.9,,269.0,12,0.4545454545454545,11,1,,,1.0909090909090908,4,2,5,0,"[59.919126, 10.759722]"
Hasle Linie Gastropub,921537735,Haslevangen 18,0579,OSLO,4.0,,410.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.9266866, 10.7924661]"
Haugenstua Kafe og Catering,912792706,Ole Brumms vei 1,0979,OSLO,4.0,1,83.0,7,0.5,6,1,,,1.1666666666666667,2,1,3,0,"[59.952259, 10.910788]"
Haugerud Kebab & Pizza,915566197,Haugerudsentervei 1,0673,OSLO,4.0,,214.0,2,0.0,1,1,,,2.0,0,0,1,0,"[59.92267712481444, 10.856396644775003]"
Haveli Kalbakken,911686538,NEDRE KALBAKK VEI 2 ,0950,OSLO,4.0,2,195.0,11,0.5555555555555556,9,1,,,1.2222222222222223,4,0,4,1,"[59.95118532367079, 10.866691104612492]"
Hawaii Barcode,928278034,Dronning Eufemias gate 14,0191,OSLO,4.0,,214.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.908438, 10.758252]"
Hedone,912872998,SKOVVEIEN 15,0255,OSLO,4.5,,6.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.917812, 10.718403]"
Heim St. Hanshaugen,917146519,Colletts gate 33,0169,OSLO,4.3,2,560.0,5,0.1428571428571428,7,1,,,0.7142857142857143,3,3,1,0,"[59.92707, 10.73827]"
Helt Vilt,927719533,Vulkan 5,0178,OSLO,4.1,,28.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.922253, 10.751749]"
Helt rått,990616418,STOCKFLETHS GATE 51A,0461,OSLO,3.6,,84.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.936224, 10.752485]"
Hereford Steakhouse,925249955,Rosenkrantz' gate 7,0159,OSLO,4.0,2,667.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.91466, 10.73956]"
Herregårdskroen AS,871705682,FROGNERVEIEN 67,0266,OSLO,4.0,2,292.0,2,0.0,5,1,,,0.4,3,2,0,0,"[59.9249323, 10.7070774]"
Hitchhiker AS,998093937,Mathallen Oslo,0178,OSLO,4.2,2,167.0,6,0.1428571428571428,7,1,,,0.8571428571428571,2,4,1,0,"[59.922205500000004, 10.752061731414937]"
Hjemme Hos Svigers ,913038444,Fredriksborgveien 16,0286,OSLO,4.2,,321.0,16,0.5,12,1,,,1.3333333333333333,4,2,4,2,"[59.90343, 10.688032]"
Holmenkollen Restaurant,989515179,Holmenkollveien 119,0787,OSLO,4.0,3,554.0,6,0.1428571428571428,7,1,,,0.8571428571428571,2,4,1,0,"[59.960573, 10.666639]"
Hongs Bao Bao ,919195355,Vulkan 5,0178,OSLO,3.8,,6.0,4,0.25,4,1,,,1.0,1,2,1,0,"[59.922253, 10.751749]"
"Hoppkafeen, Skimuseet  ",974112558,Kongeveien 5,0787,OSLO,4.6,,10000.0,2,0.0,4,1,,,0.5,2,2,0,0,"[59.962632, 10.666289]"
Horgan's Bar & Nattklubb,990458111,Hegdehaugsveien 24,0352,OSLO,3.5,2,355.0,8,0.6666666666666666,6,1,,,1.3333333333333333,2,0,4,0,"[59.920996, 10.72762]"
Hos Thea,972086630,Gabels gate 11,0272,OSLO,4.8,3,379.0,9,0.3333333333333333,9,1,,,1.0,4,2,2,1,"[59.912773, 10.709264]"
Hos Victoria Cafe&Tapas,812561952,NORDSTRANDVEIEN 32,1163,OSLO,4.0,2,121.0,5,0.1666666666666666,6,1,,,0.8333333333333334,2,3,1,0,"[59.8612147, 10.7957767]"
Hrimnir ramen,919374209,Maridalsveien 9A,0178,OSLO,4.5,2,689.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.921364, 10.75152]"
Hy's sushi avd. Hovin,915271111,Hovinveien 39,0661,OSLO,4.2,2,183.0,9,0.5,8,1,,,1.125,3,1,4,0,"[59.920042, 10.791077]"
"Hylla Cafe' & Spiseri, Golden Town AS",974472066,PLOGVEIEN 6 MANGLERUD SENTER Manglerud senter,0679,OSLO,3.9,2,209.0,11,0.4545454545454545,11,1,,,1.0,5,1,5,0,"[59.89743000000004, 10.813310000000058]"
Høymagasinet,919024240,Myntgata 7,0151,OSLO,4.0,,22.0,5,0.5,4,1,,,1.25,1,1,2,0,"[59.909374, 10.736206]"
I Baren,924452838,Operagaten 69 b,0194,OSLO,4.0,2,172.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.906347668686124, 10.75745263637856]"
ISSHO,922288704,Torggata 11,0181,OSLO,4.2,,108.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.914123, 10.748279]"
"Ikea Furuset, Restaurant",981504879,STRØMSVEIEN 303,1081,OSLO,3.6,,207.0,7,0.0,7,1,,,1.0,2,4,0,1,"[59.933847, 10.873129]"
Il Bolognese,821711282,Middelthunsgate 25A,0368,OSLO,4.8,,70.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.9282734701076, 10.708851931015431]"
Il Bolognese avd. Aker Brygge,821711282,Fjordalléen 20,0250,OSLO,3.9,,75.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.909507, 10.725055]"
Il Colosseo,999651380,SØRKEDALSVEIEN 3A,0369,OSLO,4.5,2,422.0,12,0.4545454545454545,11,1,,,1.0909090909090908,5,1,4,1,"[59.930231, 10.713033]"
Il Professore,921814615,Schweigaardsgate 54a,0656,OSLO,4.5,,250.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.908627336802255, 10.769055956401417]"
Illegal burger ,914592224,Olaf Ryes plass 4,0179,OSLO,4.3,2,1021.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.92241510661276, 10.757251468872669]"
Illegal burger as,894954892,MØLLERGATA 23,0179,OSLO,4.4,2,2459.0,13,0.5,10,1,,,1.3,3,2,4,1,"[59.915635, 10.74856]"
Inages Mat,913646754,Vulkan,0178,OSLO,4.4,1,738.0,3,0.25,4,1,,,0.75,2,1,1,0,"[59.9227244, 10.7518167]"
Indi Gastrobar ,925254290,Normannsgata 5B,0655,OSLO,4.7,,57.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.908771, 10.779722]"
Indi Spice,814798712,Welhavens gate 2A,0166,OSLO,4.5,2,438.0,5,0.5,2,1,,,2.5,0,0,1,1,"[59.919841, 10.733517]"
Indian Heritage,922126623,Tore Hals Mejdells Vei 5,0751,OSLO,4.7,,88.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.946188, 10.643123]"
Isan Kitchen ,925023337,Thorvald Meyers gate 64,0552,OSLO,4.6,2,250.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.921402, 10.759431]"
Istanbul kebab og bakeri as,824773912,Trondheimsveien 13,0560,OSLO,4.2,2,927.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.919235, 10.764361]"
Izakaya,995517302,St. Olavs gate 7,0165,OSLO,4.6,2,672.0,10,0.4444444444444444,9,1,,,1.1111111111111112,3,2,4,0,"[59.91824, 10.741859]"
JEFJEL HEALING FOOD DIALLO,919812060,Dronning Eufemias gate14,0191,OSLO,4.8,,11.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.908437780061945, 10.75825159938924]"
JOE & THE JUICE Aker Brygge,915839118,BRYGGETORGET,0250,OSLO,3.2,2,17.0,18,0.5714285714285714,14,1,,,1.2857142857142858,5,1,7,1,"[59.90967965, 10.724379038461542]"
JOE & THE JUICE CC VEST,922533695,Lilleakerveien 16,0283,OSLO,3.2,2,17.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.917405, 10.636047]"
JOE & THE JUICE Karl Johan,915868703,KARL JOHANS GATE 25,0159,OSLO,3.2,2,17.0,13,0.5454545454545454,11,1,,,1.181818181818182,5,0,5,1,"[59.913312, 10.74101]"
JOE & THE JUICE Nordstrand,918378812,Nordstrandveien 40,1162,OSLO,3.2,2,17.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.8624075, 10.8286949]"
Jafs Tøyen,825273042,Tøyengata 45A,0578,OSLO,3.6,2,59.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.915523, 10.771212]"
Jaipur Indian Restaurant,972957127,Karl Johans gate 18c,0159,OSLO,4.3,2,2501.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.912685, 10.741567]"
Jams Manglerud AS,925400416,Manglerud Senter,0679,OSLO,3.9,,1652.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.8971434, 10.8124142]"
Jams Restaurant & Bar,926886185,Holmlia Senter vei 10,1255,OSLO,3.5,,216.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.834609, 10.79506]"
Japanese Dining Sato,924684925,Bygdøy allé 19,0262,OSLO,4.2,2,279.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.916149, 10.712969]"
Japo Sushi Frogner,916641869,Frognerveien 1,0257,OSLO,3.4,2,91.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.915239, 10.717671]"
Japo Sushi Skøyen AS,916641737,KARENSLYST ALLE 9,0278,OSLO,3.6,2,140.0,11,0.5555555555555556,9,1,,,1.2222222222222223,4,0,4,1,"[59.920524, 10.683641]"
Japon Sushi ,916641745,Sognsvn 70b,0369,OSLO,3.6,2,96.0,23,0.6,15,1,,,1.5333333333333334,4,2,6,3,"[59.94820576158733, 10.731237815102219]"
Jarmann Gastropub,975350894,Stranden 1,0250,OSLO,4.2,2,588.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.910504, 10.728505]"
Jensens Bøfhus AS,997778014,Stortingsgata 2,0158,OSLO,3.6,2,2001.0,0,0.0,2,1,,,0.0,2,0,0,0,"[59.912849, 10.738643]"
Jewel of India,928737969,Oscarsgate  81,0256,OSLO,4.5,2,860.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.91591846100795, 10.716957985757375]"
Joe & The Juice ,917586179,Ruseløkveien 3-5,0251,OSLO,3.2,2,17.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.91424249946803, 10.728985681538006]"
Joe & The Juice Bjørvika,917586039,Dronning Eufemias gate 39,0194,OSLO,3.2,2,17.0,7,0.6,5,1,,,1.4,2,0,2,1,"[59.907257, 10.759398]"
Joe & The Juice Byporten,928553604,Jernbanetorget 6,0154,OSLO,3.2,2,17.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.911771, 10.751553]"
Joe & The Juice Steen & Strøm Oslo,915838979,Nedre Slottsgate 8,0157,OSLO,3.2,2,17.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.912157, 10.742756]"
Joe & The Juice Storo,928553647,Vitaminveien 7,0485,OSLO,3.2,2,17.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.946842, 10.775387]"
Joe & the Juice,918378871,Torggata 9a,0191,OSLO,3.2,2,17.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.913948, 10.747912]"
Joe & the Juice Bogstadveien 21 ,998993210,BOGSTADVEIEN 21 ,0355,OSLO,3.2,2,17.0,8,0.4444444444444444,9,1,,,0.8888888888888888,5,0,4,0,"[59.925751, 10.722503]"
Joe & the Juice Skovveien,915839266,SKOVVEIEN 5,0257,OSLO,3.2,2,17.0,9,0.4,10,1,,,0.9,5,1,4,0,"[59.916301, 10.7165]"
Joe & the juice ,918378839,STORGATA 3,0155,OSLO,3.2,2,17.0,7,0.375,8,1,,,0.875,4,1,3,0,"[59.913065, 10.748116]"
Joe & the juice Skøyen ,915839029,MESSEPROMENADEN 2 ,0279,OSLO,3.2,2,17.0,8,0.25,8,1,,,1.0,2,4,2,0,"[59.920888, 10.681155]"
Joe and the Juice,917585954,NYDALSVEIEN 33,0484,OSLO,3.7,2,54.0,3,0.1666666666666666,6,1,,,0.5,4,1,1,0,"[59.949565, 10.765789]"
Joe and the Juice,917586144,OSCARS GATE 19,0352,OSLO,3.6,2,62.0,6,0.2857142857142857,7,1,,,0.8571428571428571,3,2,2,0,"[59.922611, 10.726902]"
Johnny Rockets Sandvika,924420146,Brodtkorbsgate 7,0587,OSLO,4.1,,171.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.91234000000003, 10.750000000000057]"
Johnny Rockets Storgata,916052405,Storgata 31,0184,OSLO,4.1,2,775.0,2,0.0,3,1,,,0.6666666666666666,1,2,0,0,"[59.914305, 10.752207]"
Johnny Rockets Storo ,921355351,Vitaminveien 29,0485,OSLO,4.0,2,737.0,1,0.0,3,1,,,0.3333333333333333,2,1,0,0,"[59.947598, 10.77182]"
Jonathan Sushi Steen og Strøm ,914274907,Kongens gate 23,0153,OSLO,4.2,,70.0,3,0.25,4,1,,,0.75,2,1,1,0,"[59.911562, 10.743066]"
Jonoe ,994232215,THORVALD MEYERSGATE 14,0555,OSLO,4.1,2,189.0,16,0.5384615384615384,13,1,,,1.2307692307692308,5,1,6,1,"[59.92883874565774, 10.759431519899266]"
Jordal Haveli,921825730,Strømsveien 22,0657,OSLO,3.8,2,131.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.908803, 10.785983]"
Jordbærpikene Lambertseter,995265990,Cecilie Thoresens vei 17/21 (Lambertseter Senter),1153,OSLO,3.4,2,44.0,9,0.3333333333333333,9,1,,,1.0,3,3,3,0,"[59.874870000000044, 10.81039000000004]"
Jordbærpikene Storo,995340038,Vitaminveien 7-9,0485,OSLO,3.9,2,147.0,4,0.0,6,1,,,0.6666666666666666,2,4,0,0,"[59.9464094, 10.7744019]"
Jordbærpikene Tveita ,896923862,TVEITA SENTER,0671,OSLO,3.8,2,113.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.9145579, 10.841471]"
Justisen,915982573,MØLLERGATA 15,0179,OSLO,3.7,2,618.0,7,0.4285714285714285,7,1,,,1.0,3,1,3,0,"[59.914659, 10.74709]"
Jønk Burger ,925592471,Smalgangen 43,0188,OSLO,4.2,,193.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.912526, 10.761609]"
KUMI Oslobukta,926596438,Operagata 71B,0194,OSLO,4.1,,118.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.906266, 10.757979]"
Kafe Arkadia,874113662,MUSEUMSVEIEN 10,0287,OSLO,4.2,2,262.0,4,0.0,6,1,,,0.6666666666666666,2,4,0,0,"[59.907483, 10.686716]"
Kafe Celsius Celsius Drift AS,972019089,RÅDHUSGATEN 19,0158,OSLO,4.0,2,430.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.91014148570139, 10.740325390705976]"
Kafe Saba,992728213,Hollendergata 10,0190,OSLO,4.4,1,56.0,5,0.1666666666666666,6,1,,,0.8333333333333334,2,3,1,0,"[59.910322, 10.76725]"
Kafe Steinbra AS,913892275,GRORUDVEIEN 5,0962,OSLO,4.4,2,227.0,15,0.5454545454545454,11,1,,,1.3636363636363635,4,1,4,2,"[59.958631, 10.882408]"
Kafe i idrettshall,918252150,Oberst Rodes vei 79,1165,OSLO,4.2,,221.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.864059, 10.808901]"
Kafe-Kontoret,928193098,Grønlandsleiret 46,0190,OSLO,4.2,2,350.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.908815, 10.768458]"
Kafeteria August,995781220,Universitetsgata 7,0164,OSLO,3.8,,78.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.917215, 10.738217]"
Kaffe & Brød Disen AS,892827532,DISENVEIEN 31,0587,OSLO,4.4,2,242.0,5,0.1666666666666666,6,1,,,0.8333333333333334,2,3,1,0,"[59.941651, 10.795734]"
Kaffebrenneriet avd Grønland,998530954,GRØNLANDSLEIRET 32,0190,OSLO,4.3,2,436.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.912424, 10.760512]"
Kaffebønnen/Butleren catering ,988194190,Skøyenveien 43,0375,OSLO,4.6,,34.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.929176, 10.687622]"
Kaffegram AS,927663651,Stockfleths gate 60A,0461,OSLO,4.5,2,177.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.937422, 10.751599]"
Kaffehuset Steam CC Vest,993078093,LILLEAKERVEIEN 16,0283,OSLO,3.5,,8.0,5,0.1428571428571428,7,1,,,0.7142857142857143,3,3,1,0,"[59.917405, 10.636047]"
Kaffehuset Steam Østbanehallen,916583516,Jernbanetorget 1,0154,OSLO,3.9,,209.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.910875, 10.750737]"
Kaffekos avd. Bøler,995274760,Bølerlia 2,0691,OSLO,5.0,,1.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.883023, 10.844529]"
Kaffekos v/Cafe Cuisine AS,983635024,MANGLERUD SENTER PLOGVEIEN 6,0679,OSLO,3.7,,9.0,9,0.3333333333333333,9,1,,,1.0,3,3,3,0,"[59.89743000000004, 10.813310000000058]"
Kaffelykke,979588755,DÆLENGGATA 37A,0567,OSLO,4.6,1,132.0,5,0.2857142857142857,7,1,,,0.7142857142857143,4,1,2,0,"[59.928435659934024, 10.768750771306799]"
"Kaffistova, Hotell Bondeheimen",885777112,Kristian IVs gate 2,0159,OSLO,4.1,2,353.0,6,0.1428571428571428,7,1,,,0.8571428571428571,2,4,1,0,"[59.914735, 10.740364]"
Kafé Mathia,871705682,FROGNERVEIEN 67,0266,OSLO,3.0,,82.0,2,0.0,5,1,,,0.4,3,2,0,0,"[59.9249323, 10.7070774]"
Kafé Tandem,974131226,Grefsenveien 26,0482,OSLO,4.8,1,64.0,4,0.2,5,1,,,0.8,2,2,1,0,"[59.943214, 10.773781]"
Kain Neo Filipino Bistro,821412382,Hammerborggata 9,0181,OSLO,4.8,,101.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.91491309363158, 10.752274799510957]"
Kampen Bistro Kafe Kampen,983561756,BØGATA 21,0655,OSLO,4.4,2,504.0,7,0.1428571428571428,7,1,,,1.0,1,5,1,0,"[59.91373, 10.781007]"
Kampen Kaffebar AS,916065809,BØGATA 10,0655,OSLO,4.5,2,210.0,8,0.3333333333333333,9,1,,,0.8888888888888888,4,2,3,0,"[59.9119452, 10.7807863]"
Kanpai Sushi x Izakaya,924576367,Parkveien 1B,0350,OSLO,4.6,,286.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.922386, 10.731674]"
Karachi StreetFood,925952753,Stovner Senter 3,0985,OSLO,4.6,,114.0,6,0.6,5,1,,,1.2,2,0,3,0,"[59.962146, 10.924524]"
Karma By Baljit/Masala Politics,923655654,Karl Johans gate 13,0154,OSLO,4.6,2,404.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.912419, 10.744666]"
Katla,919825812,Universitetsgata 12,0164,OSLO,4.5,,342.0,2,0.0,3,1,,,0.6666666666666666,1,2,0,0,"[59.916505, 10.738621]"
Kazam Bowl,925601853,Lørenfaret 1,0585,OSLO,4.4,,16.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.931341, 10.800337]"
Kebab Kompaniet,922177139,Stovner senter 3,0985,OSLO,4.0,,23.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.962146, 10.924524]"
Kebab Kompaniet,924901802,Torggata 21A,0183,OSLO,3.9,2,300.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.91643, 10.752425]"
Kebabish Original ,815977882,BREIGATA 12,0187,OSLO,3.7,2,514.0,22,0.5625,16,1,,,1.375,6,1,6,3,"[59.914067, 10.761225]"
Khushi indian Cuisine,920951600,Seilduksgata 5C,0553,OSLO,4.6,,337.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.925349, 10.756779]"
Kinabolle Grønland Basar,918106111,Tøyengata 2,0190,OSLO,4.4,,227.0,4,0.5,4,1,,,1.0,2,0,2,0,"[59.912783, 10.763911]"
"Kinakål, Vippa",999348165,Akershusstranda 25,0151,OSLO,4.3,,2932.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.901814, 10.741166]"
King Falafel,823399332,Brugata 3,0186,OSLO,4.8,1,892.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.91418, 10.754792]"
Kjøkken & Bar AS,984470436,MØLLERGATA 16,0179,OSLO,4.2,,55.0,13,0.5,12,1,,,1.0833333333333333,5,1,6,0,"[59.914697, 10.747611]"
Kjøkken og kaffe Oslo S avd. 1231,974823314,Jernbanetorget 1,0154,OSLO,3.5,2,65.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.910875, 10.750737]"
Klosterenga cafe og bar ,912352455,SCHWEIGAARDSGATE 60 B,0656,OSLO,4.4,1,280.0,5,0.5,4,1,,,1.25,2,0,1,1,"[59.90804064548948, 10.771277998933243]"
Klosteret,983222366,FREDENSBORGVEIEN 13,0177,OSLO,4.4,3,513.0,4,0.0,6,1,,,0.6666666666666666,2,4,0,0,"[59.91812, 10.747814]"
Knerten & Camen,973393707,Rådhusgata 20,0151,OSLO,5.0,,2.0,5,0.6666666666666666,3,1,,,1.6666666666666667,1,0,1,1,"[59.909516, 10.742099]"
Koie Munch,921704739,Operagata 39,0194,OSLO,4.4,2,416.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.906813, 10.756127]"
Koie Ramen,819223912,Osterhaus gate 13,0183,OSLO,4.4,2,1719.0,4,0.3333333333333333,6,1,,,0.6666666666666666,4,0,2,0,"[59.917098, 10.752571]"
Kolonialen,911665182,Sofies gate 16,0170,OSLO,4.6,,42.0,9,0.375,8,1,,,1.125,2,3,3,0,"[59.92288, 10.735303]"
Kolonihagen Frogner ,994058487,FROGNERVEIEN 33,0263,OSLO,4.4,2,222.0,10,0.4,10,1,,,1.0,5,1,3,1,"[59.919015, 10.710129]"
Kompis Lillo Gård,924604395,Sandakerveien 102D,0484,OSLO,4.3,2,230.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.944756, 10.771561]"
Kompis Røa,925892556,Vækerøveien 207,0751,OSLO,4.0,2,52.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.948301, 10.643924]"
Kongen Marina as,972330817,Frognerstranda 4,0250,OSLO,4.3,2,1121.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.9103636, 10.7054633]"
"Kotengs Hagesenter A/S Plantasjen Skullerud, Karis Cafe",971945729,GENERAL RUGES VEI 107,0694,OSLO,4.2,,746.0,10,0.5,10,1,,,1.0,5,0,5,0,"[59.8637012, 10.8430479]"
Kraft,923857540,Turbinveien 26,0195,OSLO,4.6,,82.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.904112, 10.78954]"
